"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000007891","Ctsd","13033",25607.2905837415,1.46918100579357,0.0645948666681537,22.7445473854953,1.62489324050794e-114,1.44826132714162e-111
"ENSMUSG00000044468","Tent5c","74645",1052.7874500218,2.05362692068272,0.092751484030524,22.1411758760311,1.26883037892649e-108,1.09051439531665e-105
"ENSMUSG00000020932","Gfap","14580",52187.5800945587,2.14153744212438,0.0987357245625318,21.6895905875293,2.57266273156372e-104,2.13486650465796e-101
"ENSMUSG00000020101","Vsir","74048",3757.48629324967,1.11959045526049,0.0518607110320768,21.5884131354853,2.30802313126953e-103,1.85141922180004e-100
"ENSMUSG00000051439","Cd14","12475",420.576063318444,2.23516762025749,0.106498262740557,20.9878317517971,8.47233923360657e-98,6.5769949566691e-95
"ENSMUSG00000097415","AU020206","108167440",977.562181082977,1.90392052618729,0.0912302431753378,20.8694009784463,1.01598841507353e-96,7.64055037773262e-94
"ENSMUSG00000018774","Cd68","12514",1820.33263394818,2.48947869971705,0.120698756823262,20.6255537773464,1.61867076677451e-94,1.18040339401299e-91
"ENSMUSG00000041515","Irf8","15900",1037.62410491148,1.68991651787683,0.0834842460023697,20.2423403072822,4.14987951647084e-91,2.93726031070208e-88
"ENSMUSG00000021822","Plau","18792",475.735275722243,2.24587181904418,0.113066736303704,19.8632408829032,8.46667721991405e-88,5.82144535134948e-85
"ENSMUSG00000004707","Ly9","17085",201.719878824598,2.80118735888091,0.141774288216346,19.7580773927521,6.8359320422317e-87,4.56963068323072e-84
"ENSMUSG00000024737","Slc15a3","65221",410.304314291308,2.08108828310859,0.105733744708059,19.682347285199,3.05519146762103e-86,1.98711304508919e-83
"ENSMUSG00000016256","Ctsz","64138",5061.15663839233,1.38569056653627,0.0707786555289601,19.5778028867657,2.39113945216092e-85,1.51428344516454e-82
"ENSMUSG00000000982","Ccl3","20302",176.362565714674,4.73334831168329,0.241885088307731,19.568582523208,2.86540759364333e-85,1.7681034292571e-82
